x,y,z,rgb,pl_name,hostname,gaia_id,sy_snum,sy_pnum,sy_mnum,disc_year,pl_rade,pl_bmasse,pl_dens,pl_orbincl,sy_dist
-88.36495785761475,-8.008843366098171,28.475644468901386,"(128, 128, 128)",11 Com b,11 Com,Gaia DR2 3946945413106333696,2,1,0,2007,12.2,4914.89849,14.9,,93.1846
-25.505211604415894,-29.625963254448497,119.06779381201297,"(128, 128, 128)",11 UMi b,11 UMi,Gaia DR2 1696798367260229376,1,1,0,2009,12.3,4684.8142,13.8,,125.321
57.97369156207769,-7.298956031050023,47.71634126965185,"(128, 128, 128)",14 And b,14 And,Gaia DR2 1920113512486282240,1,1,0,2008,13.1,1131.1513,2.76,,75.4392
-5.954230683777855,-11.487906661216746,12.415414644607335,"(128, 128, 128)",14 Her b,14 Her,Gaia DR2 1385293808145621504,1,2,0,2002,12.6,2559.47216,7.03,144.652,17.9323
5.779530077610701,-12.135759682119696,16.31585992553967,"(128, 128, 128)",16 Cyg B b,16 Cyg B,Gaia DR2 2135550755683407232,3,1,0,1996,13.5,565.7374,1.26,,21.1397
-54.640409763216894,-109.410346445,-25.633063037663355,"(128, 128, 128)",17 Sco b,17 Sco,Gaia DR2 4342464209753404416,1,1,0,2020,12.9,1373.01872,3.51,,124.953
52.57196068038417,-53.2965921462026,14.333718980832383,"(128, 128, 128)",18 Del b,18 Del,Gaia DR2 1756741374681702784,2,1,0,2008,12.5,2926.24614,8.23,,76.222
-60.19337357234731,-115.02307500970463,-50.04995722567302,"(116, 32, 0)",1RXS J160929.1-210524 b,1RXS J160929.1-210524,Gaia DR2 6243841249531772800,1,1,0,2008,18.647,3000.0,2.54,,139.135
-49.3326002626085,-37.38515974910796,73.36221213644909,"(128, 128, 128)",24 Boo b,24 Boo,Gaia DR2 1603662211901473408,1,1,0,2018,13.9,280.64248,0.574,,95.9863
-65.76278455147587,29.460533749249297,-1.1350304205226514,"(128, 128, 128)",24 Sex b,24 Sex,Gaia DR2 3830897080395058048,1,2,0,2010,13.4,632.46,1.44,,72.0691
-65.76278455147587,29.460533749249297,-1.1350304205226514,"(128, 128, 128)",24 Sex c,24 Sex,Gaia DR2 3830897080395058048,1,2,0,2010,13.9,273.32,0.559,,72.0691
40.44365463267619,107.26056143007776,58.03120727382231,"(98, 64, 0)",2M0437 b,2MASS J04372171+2651014,Gaia DR2 151499478104075008,1,1,0,2021,13.0,1271.31363,3.18,,128.484
25.864332512263235,7.367282355581702,-38.78916671428013,"(128, 128, 128)",2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,,2,1,0,2013,12.3,4131.79,12.2,,47.2
28.754832947956864,10.87288836481269,-14.116664986866242,"(89, 24, 0)",2MASS J01225093-2439505 b,2MASS J01225093-2439505,Gaia DR2 5040416186560252416,1,1,0,2013,11.209,7786.5,30.4,,33.8281
25.416464476331527,17.69301216574584,-25.458593550526018,"(128, 128, 128)",2MASS J02192210-3925225 b,2MASS J02192210-3925225,Gaia DR2 4963614887043956096,1,1,0,2015,16.141,4417.837,5.77,,40.0896412
48.45372203907569,44.37657819190281,-6.859408591702856,"(128, 128, 128)",2MASS J0249-0557 c,2MASS J0249-0557 A,Gaia DR2 5183875103632956032,2,1,0,2018,12.4,3686.80952,10.6,,66.0613
55.4678283289817,95.269238483515,40.47309531327895,"(89, 24, 0)",2MASS J03590986+2009361 b,2MASS J03590986+2009361,Gaia DR2 51369428065705600,1,1,0,2024,12.2,5720.91133,17.3,,117.435
37.10896561926866,104.42805304830671,47.11308790754586,"(128, 128, 128)",2MASS J04414489+2301513 b,2MASS J04414489+2301513,Gaia DR2 146487556211644544,1,1,0,2010,12.6,2383.6,6.55,,120.423987
-18.688219161797107,0.4015249176595635,-99.1147430320088,"(89, 24, 0)",2MASS J11550485-7919108 b,2MASS J11550485-7919108,Gaia DR2 5199985216726016896,1,1,0,2024,12.1,6356.56814,19.7,,100.862
-49.56008347843912,-1.634630485912139,-40.946855468822925,"(98, 64, 0)",2MASS J12073346-3932539 b,2MASS J12073346-3932539,Gaia DR2 3459372646830687104,1,1,0,2004,12.9,1589.15,4.07,,64.308
114.62756956149552,-249.9542284868295,285.41628927231596,"(128, 128, 128)",2MASS J19383260+4603591 b,2MASS J19383260+4603591,Gaia DR2 2080063931448749824,2,3,0,2015,13.4,603.877,1.38,,396.332
3.8739276795501567,-3.096248307042207,-33.753021315354175,"(89, 24, 0)",2MASS J21252752-8138278 b,2MASS J21252752-8138278,Gaia DR2 6348514275456913792,1,1,0,2024,12.4,3813.94088,11.0,,34.1154
43.608085014673456,-16.650047013057964,51.590799446276975,"(128, 128, 128)",2MASS J22362452+4751425 b,2MASS J22362452+4751425,Gaia DR2 1986772848034988544,1,1,0,2016,12.3,3972.875,11.7,,69.5737
31.43508768863432,25.675561202339807,18.623868232802064,"(128, 128, 128)",30 Ari B b,30 Ari B,Gaia DR2 102082477749475200,4,1,0,2009,12.3,4392.4106,13.0,,44.657
